zipcodes
10001
10118
10120
10122
10123
10125
10130
10002
10003
10114
10276
10004
10041
10045
10274
10275
10005
10043
10081
10203
10257
10260
10265
10268
10269
10270
10286
10006
10256
10007
10008
10242
10249
10009
10010
10159
10160
10011
10113
10161
10012
10013
10213
10014
10016
10138
10156
10157
10158
10017
10087
10163
10164
10166
10175
10178
10179
10259
10261
10018
10129
10019
10101
10102
10104
10105
10106
10107
10020
10021
10131
10022
10055
10126
10150
10151
10155
10023
10133
10024
10132
10025
10026
10027
10116
10028
10029
10030
10031
10032
10033
10034
10035
10036
10108
10109
10176
10185
10037
10038
10272
10273
10292
10039
10040
10044
10065
10069
10075
10103
10110
10111
10112
10115
10117
10119
10121
10128
10124
10152
10153
10154
10162
10165
10167
10168
10169
10170
10171
10172
10173
10174
10177
10060
10090
10095
10199
10211
10212
10258
10271
10277
10278
10279
10280
10285
10080
10281
10282
10301
10302
10303
10304
10305
10306
10307
10308
10309
10310
10311
10312
10313
10314
10451
10452
10453
10454
10455
10456
10457
10458
10459
10460
10461
10462
10463
10464
10465
10466
10467
10468
10469
10470
10471
10472
10473
10474
10475
11001
11002
11003
11004
11005
11040
11101
11120
11102
11103
11104
11105
11106
11109
11201
11202
11241
11242
11245
11203
11204
11205
11206
11207
11208
11256
11209
11252
11210
11211
11249
11251
11212
11213
11214
11215
11216
11247
11217
11243
11218
11219
11220
11221
11222
11223
11224
11225
11226
11228
11229
11230
11231
11232
11233
11234
11235
11236
11237
11238
11239
11351
11354
11352
11355
11356
11357
11358
11359
11360
11361
11362
11363
11364
11365
11366
11367
11368
11369
11370
11371
11372
11373
11380
11374
11375
11377
11378
11379
11381
11385
11386
11411
11412
11413
11414
11415
11416
11417
11418
11419
11420
11421
11422
11423
11424
11425
11426
11427
11428
11429
11430
11499
11431
11432
11439
11405
11433
11434
11435
11436
11451
11690
11691
11692
11693
11695
11694
11697
